question,contexts,ground_truth,evolution_type,metadata,episode_done
What is the match venue for Palmeiras at Allianz Parque?,"[""({'id': 'Allianz Parque'}, 'MATCH_VENUE', {'id': 'Palmeiras'})""]",Allianz Parque,simple,[{}],True
Who received a yellow card from São Paulo?,"[""({'id': 'Igor Vinicius'}, 'RECEIVED_YELLOW_CARD_FROM', {'id': 'São Paulo'})""]",Igor Vinicius,simple,[{}],True
Who does Botafogo play against?,"[""({'id': 'Botafogo'}, 'PLAYS_AGAINST', {'id': 'Atlético-Go'})""]",Atlético-Go,simple,[{}],True
What team is Botafogo playing against?,"[""({'id': 'Botafogo'}, 'PLAYS_AGAINST', {'id': 'Atlético-Go'})""]",Atlético-Go,simple,[{}],True
What is the nature of the collaboration between Fred Gomes and Letícia Marques?,"[""({'id': 'Fred Gomes'}, 'COLLABORATED_ON_ARTICLE', {'id': 'Letícia Marques'})""]",nan,simple,[{}],True
What is the match venue for Palmeiras at Allianz Parque?,"[""({'id': 'Allianz Parque'}, 'MATCH_VENUE', {'id': 'Palmeiras'})""]",Allianz Parque,simple,[{}],True
What is the relationship between Allianz Parque and Palmeiras?,"[""({'id': 'Allianz Parque'}, 'MATCH_VENUE', {'id': 'Palmeiras'})""]",The relationship between Allianz Parque and Palmeiras is that Allianz Parque is the home stadium of Palmeiras.,simple,[{}],True
Who does Botafogo play against?,"[""({'id': 'Botafogo'}, 'PLAYS_AGAINST', {'id': 'Atlético-Go'})""]",Atlético-Go,simple,[{}],True
Who does Botafogo play against?,"[""({'id': 'Botafogo'}, 'PLAYS_AGAINST', {'id': 'Atlético-Go'})""]",Atlético-Go,simple,[{}],True
What is the nature of the collaboration between Fred Gomes and Letícia Marques?,"[""({'id': 'Fred Gomes'}, 'COLLABORATED_ON_ARTICLE', {'id': 'Letícia Marques'})""]",nan,simple,[{}],True
What is the significance of Allianz Parque in relation to Palmeiras?,"[""({'id': 'Allianz Parque'}, 'MATCH_VENUE', {'id': 'Palmeiras'})""]",nan,simple,[{}],True
What is the match venue for Palmeiras at Allianz Parque?,"[""({'id': 'Allianz Parque'}, 'MATCH_VENUE', {'id': 'Palmeiras'})""]",Allianz Parque,simple,[{}],True
What is the reason for Everton Cebolinha being unavailable for the match between Flamengo?,"[""({'id': 'Everton Cebolinha'}, 'UNAVAILABLE_FOR_MATCH', {'id': 'Flamengo'})""]",nan,simple,[{}],True
What is the match venue for Palmeiras at Allianz Parque?,"[""({'id': 'Allianz Parque'}, 'MATCH_VENUE', {'id': 'Palmeiras'})""]",Allianz Parque,simple,[{}],True
Who does Botafogo play against?,"[""({'id': 'Botafogo'}, 'PLAYS_AGAINST', {'id': 'Atlético-Go'})""]",Atlético-Go,simple,[{}],True
Who does Botafogo play against?,"[""({'id': 'Botafogo'}, 'PLAYS_AGAINST', {'id': 'Atlético-Go'})""]",Atlético-Go,simple,[{}],True
What is the relationship between Allianz Parque and Palmeiras?,"[""({'id': 'Allianz Parque'}, 'MATCH_VENUE', {'id': 'Palmeiras'})""]",The relationship between Allianz Parque and Palmeiras is that Allianz Parque is the venue where Palmeiras plays their matches.,simple,[{}],True
What is the nature of the collaboration between Fred Gomes and Letícia Marques?,"[""({'id': 'Fred Gomes'}, 'COLLABORATED_ON_ARTICLE', {'id': 'Letícia Marques'})""]",nan,simple,[{}],True
