Perguntas,Respostas,Contexto_1,Contexto_2,Contexto_3,Contexto_4,Contexto_5,Contexto_6,Contexto_7,Contexto_8,Contexto_9,Contexto_10,Contexto_11,Contexto_12,Contexto_13,Contexto_14,Contexto_15,Contexto_16,Contexto_17,Contexto_18,Contexto_19,Contexto_20,Noticia
Quantos gols por clube o Suárez tem na carreira,501,O centroavante Luis Suárez chegou à marca de 501 gols por clubes na carreira.,,,,,,,,,,,,,,,,,,,,https://ge.globo.com/futebol/futebol-internacional/noticia/2024/05/08/suarez-chega-a-500-gols-por-clubes-e-festeja-incrivel.ghtml
Com quantos anos o atacante Luis Suárez chegou aos 500 gols por clubes,37 anos,"O centroavante Luis Suárez chegou à marca de 501 gols por clubes na carreira. O número foi alcançado após o jogador de 37 anos marcar um hat-trick na vitória do Inter Miami por 6 a 2, contra o NY Red Bulls.",,,,,,,,,,,,,,,,,,,,https://ge.globo.com/futebol/futebol-internacional/noticia/2024/05/08/suarez-chega-a-500-gols-por-clubes-e-festeja-incrivel.ghtml
Contra qual time Luis Suárez marcou seu gol de número 500 por clubes,NY Red Bulls.,"O centroavante Luis Suárez chegou à marca de 501 gols por clubes na carreira. O número foi alcançado após o jogador de 37 anos marcar um hat-trick na vitória do Inter Miami por 6 a 2, contra o NY Red Bulls.",,,,,,,,,,,,,,,,,,,,https://ge.globo.com/futebol/futebol-internacional/noticia/2024/05/08/suarez-chega-a-500-gols-por-clubes-e-festeja-incrivel.ghtml
Quantos gols o atacante Luis Suárez tem pelo Liverpool,82 gols,Liverpool - 82 gols,,,,,,,,,,,,,,,,,,,,https://ge.globo.com/futebol/futebol-internacional/noticia/2024/05/08/suarez-chega-a-500-gols-por-clubes-e-festeja-incrivel.ghtml
"Dos 10 ultimos jogos, Em quantos o jogador do Vasco Joao victor foi titular",5 Jogos,"Dos últimos 10 jogos em que foi relacionado, João Victor foi titular em apenas cinco e não saiu do banco de reservas em dois. Por que o reforço mais caro da história do Vasco perdeu espaço no time titular recentemente?",,,,,,,,,,,,,,,,,,,,https://ge.globo.com/futebol/times/vasco/noticia/2024/05/08/entenda-por-que-joao-victor-reforco-mais-caro-da-historia-do-vasco-perdeu-espaco.ghtml
Qual é o jogador mais caro da história do vasco,Joao Victor,"Entenda por que João Victor, reforço mais caro da história do Vasco, perdeu espaço",,,,,,,,,,,,,,,,,,,,https://ge.globo.com/futebol/times/vasco/noticia/2024/05/08/entenda-por-que-joao-victor-reforco-mais-caro-da-historia-do-vasco-perdeu-espaco.ghtml
Porque Joao Victor Perdeu espaço no vasco,Desavença com Medel,"Reportagem do ge sobre os problemas de relacionamento de Medel, publicada nesta terça-feira, ajuda a entender o que aconteceu. O chileno vem acumulando desavenças no Vasco e João Victor foi uma delas. Como informado inicialmente pelo jornalista Thiago Carvalho, o zagueiro teve um desentendimento com o capitão em um treino do time.","O que aconteceu é que Medel se estranhou com Juan Sforza, e João Victor saiu em defesa do argentino. Ele chegou a cobrar Emiliano Díaz, então auxiliar técnico, dizendo que a comissão respaldava o comportamento do jogador chileno.","Com os estrangeiros do Vasco, a relação é melhor. Medel sempre teve muito prestígio com a comissão técnica anterior, participando inclusive de tomadas de decisão. Pessoas próximas a João Victor acreditam que o episódio acabou o prejudicando perante o antigo treinador.",,,,,,,,,,,,,,,,,,https://ge.globo.com/futebol/times/vasco/noticia/2024/05/08/entenda-por-que-joao-victor-reforco-mais-caro-da-historia-do-vasco-perdeu-espaco.ghtml
Quanto Vitor Roque custou ao Barcelona,40 milhoes de euros,"itor Roque se destacou no Cruzeiro e no Athletico-PR e despertou o interesse do Barcelona, que contratou o jogador por 40 milhões de euros (213,4 milhões de reais na época). A expectativa era que o Tigrinho ganhasse minutagem dentro de campo e correspondesse às expectativas criadas desde a sua chegada.",,,,,,,,,,,,,,,,,,,,https://ge.globo.com/futebol/futebol-internacional/futebol-espanhol/noticia/2024/05/07/rivaldo-critica-xavi-e-pede-oportunidades-a-vitor-roque-no-barcelona.ghtml
Quantos gols Victor Roque fez pelo barcelona,2,"O atacante de 19 anos tem 13 jogos, dois como titular, e apenas dois gols marcados pela Barça. Recentemente, André Cury, empresário do jogador, criticou a postura do técnico Xavi sobre a situação vivida pelo camisa 19 e afirmou que o treinador “nunca falou com o jogador”.",,,,,,,,,,,,,,,,,,,,https://ge.globo.com/futebol/futebol-internacional/futebol-espanhol/noticia/2024/05/07/rivaldo-critica-xavi-e-pede-oportunidades-a-vitor-roque-no-barcelona.ghtml
Quantos jogos como Titular o Vitor Roque tem pelo Barcelona?,2,"O atacante de 19 anos tem 13 jogos, dois como titular, e apenas dois gols marcados pela Barça. Recentemente, André Cury, empresário do jogador, criticou a postura do técnico Xavi sobre a situação vivida pelo camisa 19 e afirmou que o treinador “nunca falou com o jogador”.",,,,,,,,,,,,,,,,,,,,https://ge.globo.com/futebol/futebol-internacional/futebol-espanhol/noticia/2024/05/07/rivaldo-critica-xavi-e-pede-oportunidades-a-vitor-roque-no-barcelona.ghtml
Quantos jogos o atacante Óscar Romero tem pelo Botafogo?,"Sete jogos, todos saindo do banco de reservas","O paraguaio, até agora, atuou mais pelos lados do campo. Contratado como opção a Eduardo, ainda não teve chance de se mostrar pela faixa central do campo. O camisa 70 tem sete jogos pelo Alvinegro - todos saindo do banco de reservas.",,,,,,,,,,,,,,,,,,,,https://ge.globo.com/futebol/times/botafogo/noticia/2024/05/08/artur-jorge-precisa-reinventar-ataque-do-botafogo-com-novos-desfalques.ghtml
